"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Siladittya Manna","","Verified Purchase","","","","3.0","March 22, 2021","India","Camera picture quality not up to the par! But considering the price range, it is acceptable! But no 5GHz band support! Unacceptable in 2021!! 90Hz screen refresh rate does not feel like 90Hz! Lot of lag is present! Don't know if that is a software bug! Battery performance is good!! Speakers are good, as expected. Overall, except the WiFi dual band support issue, rest is acceptable in this price range!!","","Good for this price range except no dual band wifi support","4","https://www.amazon.in/gp/profile/amzn1.account.AFMBUZGFLA57ABF27JFZF7UWCLDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R202SBQMFQUVM3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Immortal","","Verified Purchase","","","","5.0","July 05, 2021","India","This phone is amazing for the price. Phone runs smooth considering it's a Exynos 850 Octa core processor. I like the 90Hz screen and I keep it ON all the time. The fingerprint recognition is extremely fast and reliable. It has a decent camera, the battery is long lasting. The only deal breaker is that it doesn't support 5GHz Wi-Fi. Android 11 with One UI 3.1 is clean and very responsive and runs smooth without stutter or lag. One can avoid ads and bloatware if you setup the device carefully. I haven't seen a single ad on my device and I have been using it for almost 3 weeks. It's the best budget phone for the features you get. Doesn't look or feel cheap.","","Great mid range Phone !!","1","https://www.amazon.in/gp/profile/amzn1.account.AHCGXLMRJRRKVX46W2HA22GXNNZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=10&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/RV3TBGLUKAYK6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Praveen Khare","","Verified Purchase","","","","5.0","April 29, 2021","India","🤡Good camera, 🔴Nice Build Quality and Excellent Ram Management. 👀Performance of 6000🔋 Mah Battery Life For 2 Days Enough With Single Charge. Its Really Monster. 🗑️Overall It is Perfect 📱Smartphone for Every One. Finger Print Senser and Face Lock is Very Fast. 👍🔴Excellent work by samsung in 2021.🎱","","🗣️ONE WORD👍 '📱KING'","1","https://www.amazon.in/gp/profile/amzn1.account.AHE3IOWWGKOX5MLB67DTSC3BNHAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=12&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R3CJXJ3MU4CGA2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Anitha.P","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","April 05, 2021","India","Samsung Galaxy M12 can be a good choice for customers who are looking for a Samsung smartphone under Rs 15,000. The smartphone offers a quad-rear camera, HD+ display and is backed by a 6000mAh battery which can easily last for two days. Camera quality is real good. Fingerprint scanner is fast and responsive sound quality is better However the phone is on the heavier side , Does not comes with the clear case and headphones and you might want to add a good screen guard and case . Thank you","","Value for money product","1","https://www.amazon.in/gp/profile/amzn1.account.AGRNJZMV5IUZZ5BOLJNPN3ZOZHMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=17&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R1222ARB6N18ER/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Amazon Customer","","Verified Purchase","","","","4.0","March 21, 2021","India","I am giving this review after usage of 2 days I bought this phone only for two req 1. Battery and Camera. 1. Battery Bang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are absolutely non sense. I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 % 2. Camera is decent its ok to have good clicks from this phone Last but not least Its Made in India!! If anyone is looking for Battery phone just go for this","","Go For It","21","https://www.amazon.in/gp/profile/amzn1.account.AG5FTT26I6XXQZCNJC4JM45VFRMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=4&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R22PGKY5B8JE49/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","San","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","4.0","March 28, 2021","India","Got this phone @7749 after Exchange & bank discount at this rate no branded mobile may not come with Android 11..., so far is good still needs to check in all respects but all basic functions are working fine.","","Budget Phone from Samsung with all basic functions","1","https://www.amazon.in/gp/profile/amzn1.account.AHX34GJ3CLBSBEVPBYXSLPFDCMKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=19&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/RTMUG143TAA6Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","MSS","","Verified Purchase","Colour: White | Size name: 6GB RAM & 128GB Storage","B08XGMNKYW","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGMNKYW?formatType=current_format","1.0","April 29, 2021","India","Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.","","does not work with 5GHz wifi","4","https://www.amazon.in/gp/profile/amzn1.account.AGIFTRZR2IX4NVPFB4YFVM2NI35A","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=8&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R3CWKPG5J3ENHC?ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Amazon Customer","","Verified Purchase","Colour: White | Size name: 4GB RAM & 64GB Storage","B08XJGNQS7","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJGNQS7/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","July 26, 2021","India","Unnecessary apps automatically download on their own. We can't control them. Any number of times you uninstall them, again, they will download and install without our role. There are no settings in phone to control them. Very nuisance. Screenshot is not working. Overall working and performance is not up to mark even for this price level. Some other model from Samsung or other brands or honor are best alternatives.","","Not good model from Samsung","","https://www.amazon.in/gp/profile/amzn1.account.AHLDFMO2MHSVJJZMAUR42KCWOMYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=13&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R1VR87IYGV3HWA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Jyoti","","Verified Purchase","Colour: Blue | Size name: 4GB RAM & 64GB Storage","B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","March 21, 2021","India","I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.","","Too much lagging and slow","216","https://www.amazon.in/gp/profile/amzn1.account.AFDYYEN6PJHV3TPTYECQC7WSQ2AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=1&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R3K2L1X9MYIXLO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
"B08XGDN3TZ","Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","4.1","8765","Purushottam","","Verified Purchase","Colour: White | Size name: 4GB RAM & 64GB Storage","B08XJGNQS7","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/product-reviews/B08XJGNQS7/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","March 21, 2021","India","Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.","","Don’t buy from Amazon.","113","https://www.amazon.in/gp/profile/amzn1.account.AFSDZTRFGPCNKJ5UD35SZQ4BZDFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.in/product-reviews/B08XGDN3TZ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=2&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Samsung","https://www.amazon.in/gp/customer-reviews/R29SFS571XP3O0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08XGDN3TZ","https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ?smid=A1EWEIV3F4B24B&pf_rd_r=JD94BDXMQRFZTZK1QFWC&pf_rd_p=62887b7a-8c70-40cb-8190-cd9b8621ddbd&pd_rd_r=821178bb-4534-44e4-9943-8fc4c8caebab&pd_rd_w=Y57Oo&pd_rd_wg=t1viE&ref_=pd_gw_unk"
